id,labels
9135693.jpg,anger
9739896.jpg,sad
3764854.jpg,anger
3097441.jpg,neutral
4468530.jpg,anger
5650355.jpg,happy
1125446.jpg,surprise
2227981.jpg,neutral
5281275.jpg,disgust
3973111.jpg,fear
9329781.jpg,anger
4701049.jpg,fear
4895269.jpg,fear
6709038.jpg,surprise
2693620.jpg,anger
8361390.jpg,anger
2715087.jpg,anger
7952889.jpg,neutral
4815579.jpg,sad
2166274.jpg,sad
6820534.jpg,happy
1317273.jpg,neutral
4719368.jpg,fear
8420803.jpg,neutral
8494298.jpg,sad
7539906.jpg,fear
7341264.jpg,surprise
1986250.jpg,surprise
8648027.jpg,anger
8466846.jpg,surprise
2056373.jpg,neutral
4033052.jpg,neutral
7437243.jpg,sad
2497320.jpg,surprise
1729595.jpg,happy
8299814.jpg,sad
1360946.jpg,sad
6275759.jpg,sad
8564991.jpg,happy
2677726.jpg,happy
1814681.jpg,happy
8680093.jpg,anger
2189779.jpg,surprise
9537484.jpg,anger
4466270.jpg,fear
4633934.jpg,surprise
8563924.jpg,anger
8605274.jpg,anger
7216338.jpg,anger
2695277.jpg,happy
3678071.jpg,anger
5861728.jpg,anger
4073967.jpg,surprise
3187600.jpg,anger
1288571.jpg,fear
7686646.jpg,sad
7234653.jpg,anger
1682978.jpg,happy
5972978.jpg,surprise
7368886.jpg,fear
8350584.jpg,surprise
7342452.jpg,fear
2371424.jpg,anger
9457518.jpg,neutral
7270103.jpg,anger
2182013.jpg,neutral
1592672.jpg,neutral
7664580.jpg,happy
9870143.jpg,sad
9318349.jpg,sad
1405180.jpg,surprise
4837993.jpg,sad
5124647.jpg,fear
9794179.jpg,disgust
9518081.jpg,happy
5496460.jpg,fear
5967275.jpg,sad
6025886.jpg,happy
8061843.jpg,anger
5471722.jpg,anger
